0100000Y6420,VBB,CCT,Y64,2,0,240114
0100000Y6430,VBB,CCT,Y64,2,0,240124
110000Y45510,CCT,DHL,Y455,3,0,240116
180000Y45610,DHL,SHL,Y456,3,0,240117
180000Y45900,SHL,VBB,Y459,3,0,240110
180000Y45910,SHL,VBB,Y459,3,0,240120
410000Y50120,XAY,QLY,Y501,5,0,240118
410000Y50130,XAY,QLY,Y501,5,0,240119
410000Y50140,XAY,QLY,Y501,5,0,240120
410000Y50150,XAY,QLY,Y501,5,0,240121
410000Y50160,XAY,QLY,Y501,5,0,240123
410000Y50170,XAY,QLY,Y501,5,0,240124
410000Y50180,XAY,QLY,Y501,5,0,240125
410000Y50190,XAY,QLY,Y501,5,0,240126
410000Y501A0,XAY,QLY,Y501,5,0,240127
410000Y501B0,XAY,QLY,Y501,5,0,240128
410000Y501C0,XAY,QLY,Y501,5,0,240130
410000Y501D0,XAY,QLY,Y501,5,0,240131
410000Y501E0,XAY,QLY,Y501,5,0,240201
410000Y501F0,XAY,QLY,Y501,5,0,240202
410000Y501G0,XAY,QLY,Y501,5,0,240203
410000Y501H0,XAY,QLY,Y501,5,0,240204
410000Y501I0,XAY,QLY,Y501,5,0,240206
410000Y501J0,XAY,QLY,Y501,5,0,240207
410000Y501K0,XAY,QLY,Y501,5,0,240208
410000Y501L0,XAY,QLY,Y501,5,0,240223
410000Y501M0,XAY,QLY,Y501,5,0,240224
410000Y501N0,XAY,QLY,Y501,5,0,240225
410000Y50230,QLY,XAY,Y502,5,0,240118
410000Y50240,QLY,XAY,Y502,5,0,240119
410000Y50250,QLY,XAY,Y502,5,0,240120
410000Y50260,QLY,XAY,Y502,5,0,240121
410000Y50270,QLY,XAY,Y502,5,0,240123
410000Y50280,QLY,XAY,Y502,5,0,240124
410000Y50290,QLY,XAY,Y502,5,0,240125
410000Y502A0,QLY,XAY,Y502,5,0,240126
410000Y502B0,QLY,XAY,Y502,5,0,240127
410000Y502C0,QLY,XAY,Y502,5,0,240128
410000Y502D0,QLY,XAY,Y502,5,0,240130
