YYQ,123,6
WCN,159,31
XUN,204,34
小林,36,12
南阳西,111,28
XIF,62,8
ONY,26,31
XAY,285,39
XYY,20

6200000Y5650,Y56,241121,0
CSQ,,21:00
XUN,523,34
XAY,599,48
BJY,193,16
TSJ,130,10
LZJ,379,22
HSO,85,24
XNO,77

6300000Y5620,Y56,241009,0
GZQ,,11:36
YTQ,57,3
YDQ,42,3
SGQ,61,5
CZQ,105,6
HYQ,102,5
ZZQ,96,20
CSQ,49,10
YYQ,123,6
WCN,159,31
XUN,204,34
小林,36,12
南阳西,111,28
XIF,62

8500000Y5700,Y57,241012,0
TSJ,,22:53
LZJ,379

5700000Y5780,Y57,240922,0
YTG,,15:53
XIF,1113

8800000Y5800,Y58,240630,0
XNO,,17:40
HSO,167,56
LZJ,108,17
TSJ,337,6
BJY,158,6
XAY,175

8500000Y5830,Y55,240731,0
LZJ,,23:28
TSJ,337,6
BJY,158,6
XAY,155,13
新丰镇,57,42
南阳西,275,31
XUN,217,25
WCN,216,35
YYQ,155,4
CSQ,89,8
ZZQ,38,26
HYQ,95,6
CZQ,100,6
SGQ,103,6
YDQ,54,3
YTQ,42,2
GZQ,57

9300000Y5800,Y58,240808,0
WAR,,18:41
TFR,174,6
哈密东,346,20
DHR,279,6
安北,57,43
SHJ,43,7
JGJ,109,8
JQJ,20,8
ZYJ,138,6
WWJ,187,8
LZJ,245,17
TSJ,337,6
BJY,158,6
XYY,116,11
XAY,45

8500000Y5850,Y55,单&240912-14,0
LZJ,,23:28
TSJ,337,6
BJY,158,6
XAY,155,13
新丰镇,57,42
南阳西,275,31
XUN,217,25
WCN,216,35
YYQ,155,4
CSQ,89,8
ZZQ,38,26
HYQ,95,6
CZQ,100,6
SGQ,103,6
YDQ,54,3
YTQ,42,2
GZQ,57

8800000Y5810,Y58,241110,0
XNO,,00:00
HSO,1227,56
LZJ,108,17
TSJ,337,6
BJY,158,6
XAY,155,13
XUN,622

4100000Y5810,Y55,241201,0
XAY,,10:43
WXY,109,4
ZPF,241,2
南阳西,18,31
XUN,217,25
KCN,87,4
MCN,75,23
JJG,222

8500000Y5860,Y55,241013,0
LZJ,,23:28
TSJ,337,6
BJY,158,6
XAY,155,13
新丰镇,57,42
南阳西,275,31
XUN,217,25
WCN,216,35
YYQ,155,4
CSQ,89,8
ZZQ,38,26
HYQ,95,6
CZQ,100,6
SGQ,103,6
YDQ,54,3
YTQ,42,2
GZQ,57

3900000Y5910,Y59,240715,0
LON,,20:24
ZDN,39,3
XUN,60,10
WCN,266,27
HHQ,981

6300000Y6000,Y60,240628,0
GZQ,,10:04
SGQ,149,6
CZQ,105,6
HYQ,103,6
ZZQ,87,18
CSQ,51,12
YYQ,88,5
WCN,209,26
XUN,179,11
孟庙,159,15
ZZF,109,28
AYF,180

3900000Y6000,Y60,240710,0
WCN,,00:35
XUN,179,11
孟庙,159,15
ZZF,109,28
AYF,180,6
HDP,268,30
SJP,100,7
BDP,88,21
BXP,174

8000000Y6070,Y60,240829,0
KMM,,15:12
QJM,160,10
XWM,121,6
凤凰山,9,33
UMW,94,17
ASW,128,2
GIW,85,19
KLW,145,23
YZW,160,4
HHQ,107,20
LDQ,267,6
YYQ,347,5
ZZF,708,28
JOF,175

6500000Y6220,Y62,241014,0
BJQ,,10:50
DMQ,40,6
LUQ,184,20
DNG,90,6
GZG,112

1200000Y6300,Y63,240617,0
SBT,,16:15
CCT,249,10
VBB,211

1200000Y64T0,Y64,240618,0
SBT,,22:12
SHD,411

1200000Y64U0,Y64,240620,0
SBT,,22:12
JZD,237,11
SHD,163,35
TJP,245,37
RMP,83,2
HSP,123,13
UCK,125,6
SPF,191,6
FYH,144,19
WCN,302,25
XNN,47,7
CBN,52

1200000Y64V0,Y64,240703,0
SBT,,22:12
SPF,1271,6
WCN,465,31
SZN,131,2
ZYN,47,2
XFN,45,25
JMN,106,3
DYN,37,3
HAN,44

1200000Y64W0,Y64,240717,0
SBT,,22:12
SHD,411

1200000Y64X0,Y64,240728,0
SBT,,22:12
SHD,411,35
TJP,245,37
HSP,208,13
SPF,322,6
WCN,465,31
XFN,227,25
JMN,79,4
DYN,37,3
HAN,55

1100000Y64A0,Y64,240801,0
CCT,,18:20
SPT,161

0100000Y6490,Y64,240802,0
VBB,,13:51
SBT,486

1200000Y64Y0,Y64,240807,0
1200000Y64Z0,Y64,240822,0
1200000Y64H0,Y64,240825,0
SBT,,22:12
SHD,411

1100000Y64B0,Y64,240829,0
1100000Y64C0,Y64,240830,0
1100000Y64E0,Y64,240901,0
CCT,,18:20
SPT,161

1100000Y64F0,Y64,240902,0
CCT,,18:26
GLT,38,3
SPT,39,3
CTT,33,3
TLT,40,3
SBT,49,15
JZD,237,11
HLD,36,10
SHD,117,35
TJP,245,37
RMP,83,2
HSP,123,13
UCK,125,6
梁堤头,172,844
FYH,765,19
MCN,175,33
JJG,154,4
XTG,119,22
VAG,144,5
EUG,69,3
TNS,251

1200000Y6400,Y64,240911,0
SBT,,22:12
SHD,411,35
TJP,245,37
HSP,208,13
SPF,322,6
FYH,144,19
KCN,92,5
WCN,205,31
ZYN,178,6
XFN,43,25
JMN,88,2
DYN,37,3
HAN,48

4900000Y6400,Y64,241025,0
CEK,,07:30
LCK,16,9
WFK,156,14
ZBK,148,15
JAK,72,15
UCK,94,13
HIK,90,3
VAG,882

1200000Y6410,Y64,240917,0
SYT,,21:18
LYT,56,3
AST,18,3
HCT,26,3
PVD,54,4
JZD,124,11
