02000041340G,QEB,JMB,4134,12,0,8,
02000041350Q,JMB,QEB,4135,12,0,8,
02000041360T,QEB,JMB,4136,12,0,8,
050000417003,HRX,MRX,4167,16,0,8,200517
050000416806,MRX,MLX,4168,19,0,8,
050000416806,MRX,MLX,4169,19,0,8,200517
050000417003,HRX,MRX,4170,16,0,8,
03000041710J,MDB,HGB,4171,25,0,8,
02000041720E,HGB,DJB,4172,7,0,8,
03000041730E,MDB,JMB,4173,3,0,8,
02000041740H,JMB,MDB,4174,22,0,8,
050000417905,ARX,HRX,4179,11,0,8,
050000418004,HRX,ARX,4180,11,0,8,
05000041840I,HRX,MHX,4181,21,0,8,
05000041820G,MHX,HRX,4182,24,0,8,
05000041820G,MHX,HRX,4183,24,0,8,
05000041840I,HRX,MHX,4184,21,0,8,
05000041850E,HRX,MLX,4185,3,0,8,
05000041860N,MLX,HRX,4186,5,0,8,
04000041870D,QHX,MLX,4187,19,,8,
05000041880U,MLX,QHX,4188,21,,8,
050000419100,HRX,MLX,4191,3,,8,
0500004192A0,MLX,HRX,4192,4,,8,
120000421506,AST,SBT,4215,6,,8,
120000421670,SBT,BJP,4216,17,,8,
13000042290K,YKT,SYT,4229,9,,8,
12000042300O,SYT,YKT,4230,9,,8,
19000042450O,THL,BEL,4245,12,,8,
19000042460T,BEL,THL,4246,10,,8,
120000424805,NFT,LYT,4248,6,0,8,
120000424904,LYT,BXT,4249,4,0,8,
15000042550H,YBD,JZD,4255,13,0,8,
15000042560F,JZD,YBD,4256,13,0,8,
110000430530,CCT,SLL,4305,11,0,8,
180000430600,SLL,CCT,4306,10,0,8,
150000430902,FXD,TLD,4309,2,,8,
16000043100G,TLD,SHH,4310,31,,8,
120000431504,BXT,XST,4315,3,0,8,
120000431605,XST,BXT,4316,3,0,8,
12000043200G,DUT,THL,4317,11,0,8,
19000043180I,THL,DUT,4318,10,0,8,
19000043180I,THL,DUT,4319,10,0,8,
12000043200G,DUT,THL,4320,11,0,8,
120000432104,BXT,NFT,4321,3,0,8,
120000432209,BXT,SYT,4322,7,0,8,
12000043250M,SYT,CDT,4325,21,0,8,
12000043260G,CDT,SYT,4326,21,0,8,
15000043270L,YBD,TLD,4327,24,0,8,
160000432808,CFD,YBD,4328,11,0,8,
16000043300G,TLD,CFD,4330,14,0,8,
180000434105,JLL,SHL,4341,5,0,8,
180000434204,SHL,JLL,4342,5,0,8,
180000434306,JLL,TML,4343,11,0,8,
180000434408,TML,JLL,4344,11,0,8,
180000434510,TML,WQL,4345,3,0,8,
180000434610,WQL,TML,4346,3,0,8,
190000434707,THL,JAL,4347,9,0,8,
190000434809,JAL,THL,4348,9,0,8,
190000434904,THL,LQL,4349,9,0,8,
190000435005,LQL,THL,4350,5,0,8,
190000435103,THL,LQL,4351,6,0,8,
190000435208,LQL,THL,4352,9,0,8,
180000435300,YJL,WQL,4353,3,0,8,
180000435400,WQL,YJL,4354,3,0,8,
110000435504,SPT,TLD,4355,7,0,8,
160000435705,TLD,SPT,4356,7,0,8,
160000435705,TLD,SPT,4357,7,0,8,
110000435504,SPT,TLD,4358,7,0,8,
190000436104,THL,JAL,4361,6,0,8,
190000436201,JAL,THL,4362,7,0,8,
190000436302,THL,JAL,4363,5,0,8,
190000436403,JAL,THL,4364,7,0,8,
160000437006,TLD,KLD,4367,4,0,8,
1h0000436807,KLD,TLD,4368,4,0,8,
