常德,VGQ,16:30
承德,CDP,15:30
长甸,CDT,16:30
承德南,IVP,16
曹妃甸东,POP,16
赤峰,CID,13
曹妃甸港,PGP,16
赤峰南,CFD,13
嵯岗,CAX,16:30
柴岗,CGT,16:30
长葛北,CGF,13
柴沟堡,CGV,15
城固,CGY,18
成高子,CZB,16:30
草海,WBW,15:30
巢湖东,GUH,12:30
柴河,CHB,16:30
巢湖,CIH,12:30
从江,KNW,
蔡家崖,EBV,15
长乐东,CIS,18
长乐,CAS,18
长临河,FVH,12:30
慈利,CUQ,17:30
茶陵,CDG,17:30
崇礼,KOP,
昌黎,CLP,16
长流,CLA,13:30
长乐南,CVS,18
晨明,CMB,16:30
苍南,CEH,09:30
昌平北,VBP,16
常平东,FQQ,14
昌平,CPP,16
长庆桥,CQJ,11:30
崇仁,CRG,
长寿北,COW,15:30
潮汕,CBQ,14
察素齐,CSC,15
朝天,CTE,15:30
长汀南,CNS,
朝天南,CTY,18
昌图,CTT,16:30
昌图西,CPT,16:30
长汀镇,CDB,16:30
长武,CWY,18
苍溪,CXE,15:30
辰溪,CXQ,17:30
磁县,CIP,16
楚雄,CUM,15
曹县,CXK,18
城西,CIA,13:30
长兴南,CFH,09:30
陈相屯,CXT,16:30
春阳,CAL,16:30
潮阳,CNQ,14
朝阳川,CYL,16:30
朝阳湖,CYE,15:30
滁州北,CUH,18
常州北,ESH,17
长治北,CBF,17
长治东,CUF,17
长征,CZJ,11:30
池州,IYH,10
滁州,CXH,18
郴州,CZQ,17:30
沧州,COP,16
常州,CZH,17
长治,CZF,17
崇州,CZE,15:30
崇左南,COZ,
崇左,CZZ,17:30
郴州西,ICQ,17:30
沧州西,CBP,16
大安北,RNT,16:30
东安东,DCZ,17:30
达坂城,DCR,09
定边,DYJ,11:30
东岔,DCJ,11:30
丹东,DUT,15:30
东方,UFQ,13:30
丹凤,DGY,18
大丰,KRQ,15
东方红,DFB,16:30
大方南,DNE,15:30
东风南,DPJ,
东港北,RGT,16:30
东莞东,DMQ,08:30
东莞南,DNA,
大孤山,RMT,16:30
东莞,RTQ,08:30
东莞西,WGQ,14
大红旗,DQD,16:30
大虎山,DHD,16:30
敦化,DHL,16:30
敦煌,DHJ,10:30
德惠,DHT,16:30
德惠西,DXT,16:30
东京城,DJB,16:30
达家沟,DJT,16:30
垫江,DJE,15:30
道滘,RRQ,14
大涧,DFP,
杜家,DJL,16:30
洞井,FWQ,15
都江堰,DDW,15:30
洞口,DKA,17
大连北,DFT,13
德令哈,DHO,15
达连河,DCB,09
大荔,DNY,18
大理,DKM,15
大连,DLT,13
大明湖,JAK,14
得莫利,DTB,09
东明县,DNF,17:30
定南,DNG,17:30
定南南,DIG,
大埔,DPI,14
大庆东,LFX,09
大庆,DZX,09
对青山,DQB,16:30
大庆西,RHX,09
东胜,DOC,15
独山,RWW,15:30
砀山南,PRH,17:30
大石桥,DQT,16:30
东胜西,DYC,15
大同南,DMV,13:30
大同,DTV,13:30
大屯,DNT,16:30
大通西,DTO,15
大武口,DFJ,11:30
党武,DWE,
定西北,DNJ,11:30
大兴机场,IWP,16
定西,DSJ,11:30
东乡,DXG,17:30
大兴,DXX,16:30
德阳,DYW,15:30
当阳,DYN,18
丹阳,DYH,17
大冶北,DBN,18
大英东,IAW,15:30
都匀东,KJW,15:30
东营,DPK,18
大邑,DEE,15:30
东营南,DOK,18
大杨树,DUX,16:30
都匀,RYW,15:30
德州东,DIP,14:30
定州东,DOP,16
邓州东,DDF,17
东至,DCH,10
达州,RXW,13
德州,DZP,14:30
定州,DXP,16
邓州,DOF,17
峨边,EBW,15:30
鄂尔多斯,EEC,15
额济纳,EJC,15
二连,RLC,15
峨眉,EMW,15:30
峨眉山,IXW,15:30
恩施,ESN,16:30
鄂州,ECN,18
防城港北,FBZ,17:30
福鼎,FES,18
肥东,FIH,12:30
丰都,FUW,15:30
发耳,FEM,15
福海,FHR,09
凤凰机场,FJQ,13:30
凤凰城,FHT,16:30
汾河,FEV,15
奉化,FHH,09:30
富锦,FIB,16:30
范家屯,FTT,16:30
涪陵北,FEW,15:30
风陵渡,FLV,15
涪陵,FLW,15:30
富拉尔基,FRX,16:30
福利区,FLJ,09
阜宁东,FDU,17:30
富宁,FNM,15
福清,FQS,18
福泉,VMW,15:30
