hfc,合肥北城,COH,hefeibeicheng,hfbc,73,0809,合肥,12:30,us+3yrGxs8c=
hfe,合肥,HFH,hefei,hf,74,0809,合肥,12:30,us+3yg==
hfn,合肥南,ENH,hefeinan,hfn,75,0809,合肥,12:30,us+3ysTP
hfx,合肥西,HFU,hefeixi,hfx,77,0809,合肥,12:30,us+3ys73
hgt,皇姑屯,HTT,huanggutun,hgt,78,0205,沈阳,16:30,u8q5w83N
hhd,呼和浩特东,NDC,huhehaotedong,hhhtd,79,0511,呼和浩特,14,uvS6zbrGzNi2qw==
hht,呼和浩特,HHC,huhehaote,hhht,80,0511,呼和浩特,14,uvS6zbrGzNg=
hkd,海口东,HMQ,haikoudong,hkd,82,2501,海口,13:30,uqO/2rar
hko,海口,VUQ,haikou,hk,83,2501,海口,13:30,uqO/2g==
hzd,杭州东,HGH,hangzhoudong,hzd,84,0904,杭州,10:45,urzW3bar
hzh,杭州,HZH,hangzhou,hz,85,0904,杭州,10:45,urzW3Q==
hzn,杭州南,XHH,hangzhounan,hzn,86,0904,杭州,10:45,urzW3cTP
jna,济南,JNK,jinan,jn,87,0602,济南,14:15,vMPEzw==
jnd,济南东,MDK,jinandong,jnd,89,0602,济南,14:15,vMPEz7ar
jnx,济南西,JGK,jinanxi,jnx,90,0602,济南,14:15,vMPEz873
kmi,昆明,KMM,kunming,km,92,1902,昆明,14:30,wKXD9w==
kmn,昆明南,KOM,kunmingnan,kmn,93,1902,昆明,14:30,wKXD98TP
lch,历城,VHK,licheng,lc,94,0602,济南,14,wPqzxw==
ljl,蔺家楼,ULK,linjialou,ljl,95,0602,济南,,3f680sKl
lqs,龙泉寺,UQJ,longquansi,lqs,96,2102,兰州,,wfrIqsvC
lsa,拉萨,LSO,lasa,ls,97,2751,拉萨,15,wK3I+A==
lsc,乐善村,LUM,leshancun,lsc,98,1902,昆明,,wNbJxrTl
lsp,林盛堡,LBT,linshengpu,lsp,99,0205,沈阳,,wdbKorGk
ltx,骆驼巷,LTJ,luotuoxiang,ltx,100,2102,兰州,,wubN1c/v
lwb,莱芜北,VIK,laiwubei,lwb,101,0602,济南,14,wLPO37Gx
lzd,兰州东,LVJ,lanzhoudong,lzd,102,2102,兰州,,wLzW3bar
lzh,兰州,LZJ,lanzhou,lz,103,2102,兰州,09,wLzW3Q==
lzq,兰州新区,LQJ,lanzhouxinqu,lzxq,104,2102,兰州,09,wLzW3dDCx/g=
lzx,兰州西,LAJ,lanzhouxi,lzx,105,2102,兰州,09,wLzW3c73
msz,茂舍祖,MOM,maoshezu,msz,106,1902,昆明,,w6/J4dfm
ncd,南昌东,NUG,nanchangdong,ncd,107,1104,南昌,09:45,xM+y/bar
nch,南昌,NCG,nanchang,nc,109,1104,南昌,09:45,xM+y/Q==
ncn,南昌南,HOG,nanchangnan,ncn,110,1104,南昌,09:45,xM+y/cTP
ncu,宁村,NCZ,ningcun,nc,111,1607,南宁,,xP605Q==
ncx,南昌西,NXG,nanchangxi,ncx,112,1104,南昌,09:45,xM+y/c73
nji,南京,NJH,nanjing,nj,113,0705,南京,08:15,xM++qQ==
njn,南京南,NKH,nanjingnan,njn,114,0705,南京,08:15,xM++qcTP
nlu,那罗,ULZ,naluo,nl,115,1607,南宁,,xMfC3g==
nnb,南宁北,NRZ,nanningbei,nnb,116,1607,南宁,15:15,xM/E/rGx
nnd,南宁东,NFZ,nanningdong,nnd,117,1607,南宁,15:15,xM/E/rar
nni,南宁,NNZ,nanning,nn,118,1607,南宁,15:15,xM/E/g==
nnx,南宁西,NXZ,nanningxi,nnx,119,1607,南宁,17:30,xM/E/s73
npu,那铺,NPZ,napu,np,120,1607,南宁,,xMfGzA==
nqu,暖泉,NQJ,nuanquan,nq,121,2302,银川,,xa/Iqg==
pdx,坡底下,PXJ,podixia,pdx,122,2102,兰州,,xsK118/C
qdi,七甸,QDM,qidian,qd,123,1902,昆明,,xt+16Q==
sby,世博园,ZWT,shiboyuan,sby,124,0205,沈阳,16:30,ysCyqdSw
sjb,石家庄北,VVP,shijiazhuangbei,sjzb,125,0365,石家庄,14:15,yq+80tevsbE=
sjd,石家庄东,SXP,shijiazhuangdong,sjzd,126,0365,石家庄,16,yq+80tevtqs=
sjt,邵家堂,SJJ,shaojiatang,sjt,127,2102,兰州,,ydu80szD
sjz,石家庄,SJP,shijiazhuang,sjz,128,0365,石家庄,14:15,yq+80tev
sjz,施家嘴,SHM,shijiazui,sjz,129,1902,昆明,,yqm80tfs
sya,沈阳,SYT,shenyang,sy,130,0205,沈阳,09:30,yfLR9A==
syb,沈阳北,SBT,shenyangbei,syb,131,0205,沈阳,09,yfLR9LGx
syd,沈阳东,SDT,shenyangdong,syd,132,0205,沈阳,16:30,yfLR9Lar
syn,沈阳南,SOT,shenyangnan,syn,133,0205,沈阳,09:30,yfLR9MTP
syu,水源,OYJ,shuiyuan,sy,134,2102,兰州,,y67UtA==
syx,沈阳西,OOT,shenyangxi,syx,135,0205,沈阳,16:30,yfLR9M73
syz,桑园子,SAJ,sangyuanzi,syz,136,2102,兰州,,yaPUsNfT
tyd,太原东,TDV,taiyuandong,tyd,137,0405,太原,15,zKvUrbar
tyn,太原南,TNV,taiyuannan,tyn,138,0405,太原,14:15,zKvUrcTP
tyu,太原,TYV,taiyuan,ty,139,0405,太原,14:30,zKvUrQ==
wha,武汉,WHN,wuhan,wh,140,1314,武汉,13:30,zuS6ug==
whd,武汉东,LFN,wuhandong,whd,141,1314,武汉,13:30,zuS6urar
wjw,王家湾,WJJ,wangjiawan,wjw,142,2102,兰州,,zfW80s3l
wln,乌鲁木齐南,WMR,wulumuqinan,wlmqn,143,2403,乌鲁木齐,08:30,ztrCs8S+xuvEzw==
wlq,乌鲁木齐,WAR,wulumuqi,wlmq,144,2403,乌鲁木齐,08:30,ztrCs8S+xus=
wxc,吴圩机场,WJZ,wuxujichang,wxjc,145,1607,南宁,17:30,zuLb17v6s6E=
xab,西安北,EAY,xianbei,xab,146,2003,西安,10:30,zvewsrGx
xan,西安,XAY,xian,xa,147,2003,西安,11:30,zvewsg==
xgc,西固城,XUJ,xigucheng,xgc,148,2102,兰州,,zve5zLPH
xjk,西街口,EKM,xijiekou,xjk,149,1902,昆明,,zve91r/a
xjt,许家台,XTJ,xujiatai,xjt,150,2102,兰州,,0O280syo
xni,西宁,XNO,xining,xn,151,2201,西宁,15,zvfE/g==
xsh,小哨,XAM,xiaoshao,xs,152,1902,昆明,,0KHJ2g==
xye,雪野,XYK,xueye,xy,153,0602,济南,14,0anSsA==
ych,银川,YIJ,yinchuan,yc,154,2302,银川,10:30,0vi0qA==
yfy,永丰营,YYM,yongfengying,yfy,155,1902,昆明,,08C34dOq
yna,宜耐,YVM,yinai,yn,156,1902,昆明,,0svEzQ==
yst,榆树台,YUT,yushutai,yst,157,0205,沈阳,16:30,09zK98yo
yzh,引镇,CAY,yinzhen,yz,158,2003,西安,18,0v3V8g==
zjy,朱家窑,ZUJ,zhujiayao,zjy,159,2102,兰州,,1uy80tKk
zqn,章丘南,VQK,zhangqiunan,zqn,160,0602,济南,14,1cLH8MTP
zzd,郑州东,ZAF,zhengzhoudong,zzd,161,1222,郑州,15:15,1qPW3bar
zzg,郑州航空港,ZIF,zhengzhouhangkonggang,zzhkg,162,1222,郑州,15:15,1qPW3bq9v9W42w==
zzh,郑州,ZZF,zhengzhou,zz,163,1222,郑州,15:15,1qPW3Q==
zzx,郑州西,XPF,zhengzhouxi,zzx,164,1222,郑州,15:15,1qPW3c73
aax,昂昂溪,AAX,angangxi,aax,165,0007,齐齐哈尔,16:30,sLqwus+q
acb,阿城北,ABB,achengbei,acb,166,0034,哈尔滨,09,sKKzx7Gx
ach,阿城,ACB,acheng,ac,167,0034,哈尔滨,16:30,sKKzxw==
aci,安次,ACI,anci,ac,168,0358,廊坊,16,sLK0zg==
ada,安达,ADX,anda,ad,169,0015,绥化,16:30,sLK07w==
ade,安德,ARW,ande,ad,170,1707,成都,15:30,sLK1wg==
aeb,阿尔山北,ARX,aershanbei,aesb,171,1646,兴安,16,sKK2+8m9sbE=
aes,阿尔山,ART,aershan,aes,172,1646,兴安,16:30,sKK2+8m9
aji,安吉,AJU,anji,aj,173,0901,湖州,09:30,sLK8qg==
aji,安靖,PYW,anjing,aj,174,1707,成都,15:30,sLK+uA==
aji,安家,AJB,anjia,aj,175,0034,哈尔滨,16:30,sLK80g==
aka,安康,AKY,ankang,ak,176,2006,安康,16,sLK/tQ==
aks,阿克苏,ASR,akesu,aks,177,2409,阿克苏,09,sKK/y8vV
akt,阿克陶,AER,aketao,akt,178,2411,阿图什,09,sKK/y8zV
ale,阿拉尔,AOR,alaer,ale,179,2409,阿克苏,09,sKLArbb7
alh,阿里河,AHX,alihe,alh,180,9096,呼伦贝尔,16:30,sKLA77rT
alk,阿拉山口,AKR,alashankou,alsk,181,2407,博乐,09,sKLArcm9v9o=
alt,阿勒泰,AUR,aletai,alt,182,2424,阿勒泰,09,sKLA1cyp
alu,安陆,ALN,anlu,al,183,1313,孝感,18,sLLCvQ==
